License plate,Frame no.,Timestamp(seconds)
'XS-NB-23',1,0.0
'98-THD-4',44,3.583333333333333
'23-GSX-6',73,6.0
'72-VGX-6',112,9.25
'99-SZG-5',145,12.0
'14-NJK-9',183,15.166666666666666
'24-LB-HT',217,18.0
'68-NS-ND',258,21.416666666666664
'97-FB-FP',289,24.0
'96-LKH-0',361,30.0
'56-JTT-5',397,33.0
'88-BB-TS',437,36.33333333333333
'56-JTT-5',469,39.0
'ZD-PB-67',507,42.166666666666664
'92-GS-VH',541,45.0
'73-PV-HB',615,51.166666666666664
'93-PXS-9',653,54.33333333333333
'RP-NL-93',694,57.75
'43-HNN-2',721,60.0
'43-JS-RT',761,63.33333333333333
'63-HK-HD',793,66.0
'63-HK-HD',821,68.33333333333333
'92-LHR-6',829,69.0
'63-HK-HD',865,72.0
'3-VFX-39',901,75.0
'01-XJ-ND',937,78.0
'96-ND-JB',975,81.16666666666666
'57-LF-JB',1013,84.33333333333333
'VD-020-P',1047,87.16666666666666
'5-SXB-74',1082,90.08333333333333
'23-GSR-5',1138,94.75
'27-LH-TB',1190,99.08333333333333
'XH-PN-44',1252,104.25
'69-GR-DH',1343,111.83333333333333
'64-LJ-GF',1384,115.25
'41-GFZ-8',1424,118.58333333333333
'28-RXT-9',1471,122.5
'89-LZ-GX',1520,126.58333333333333
